,,,,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AfterSplit,GenAugSpoofOnly_KF,0.2,6.0,88.83333333333333,0.408248290463863,88.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.1666666666666667,0.408248290463863,1.0,1.0,1.0,1.0,2.0,6.0,0.012962962962962963,0.0045360921162651445,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.03981481481481482,0.002268046058132573,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.044444444444444446,6.0,0.06326987681970885,0.0002742989633575815,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06382978723404256,6.0,0.9601851851851851,0.002268046058132564,0.9555555555555556,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,AfterSplit,GenAugSpoofOnly_KF,0.3,6.0,88.83333333333333,0.408248290463863,88.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.1666666666666667,0.408248290463863,1.0,1.0,1.0,1.0,2.0,6.0,0.012962962962962963,0.0045360921162651445,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.03981481481481482,0.002268046058132573,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.044444444444444446,6.0,0.06326987681970885,0.00027429896335758155,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06382978723404256,6.0,0.9601851851851851,0.0022680460581325644,0.9555555555555556,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,AfterSplit,TradAugSpoofOnly,0.05,6.0,88.66666666666667,0.816496580927726,87.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.816496580927726,1.0,1.0,1.0,1.0,3.0,6.0,0.014814814814814815,0.009072184232530289,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.03333333333333333,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.04074074074074074,0.004536092116265146,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.05,6.0,0.06338426711941142,0.0005544968291529532,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06451612903225806,6.0,0.9592592592592593,0.004536092116265128,0.9500000000000001,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,AfterSplit,TradAugSpoofOnly,0.1,6.0,88.5,0.8366600265340756,87.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.5,0.8366600265340756,1.0,1.0,1.0,1.75,3.0,6.0,0.016666666666666666,0.009296222517045285,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.03333333333333333,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.041666666666666664,0.004648111258522643,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.05,6.0,0.06349624920227818,0.0005673336696081371,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06451612903225806,6.0,0.9583333333333334,0.004648111258522626,0.9500000000000001,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,AfterSplit,TradAugSpoofOnly,0.2,6.0,88.66666666666667,0.5163977794943223,88.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.5163977794943223,1.0,1.0,1.0,1.75,2.0,6.0,0.014814814814814815,0.00573775310549247,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.040740740740740744,0.0028688765527462353,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.044444444444444446,6.0,0.06338185890257558,0.00034696379361320997,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06382978723404256,6.0,0.9592592592592593,0.002868876552746225,0.9555555555555556,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,AfterSplit,TradAugSpoofOnly,0.3,6.0,88.83333333333333,0.408248290463863,88.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.1666666666666667,0.408248290463863,1.0,1.0,1.0,1.0,2.0,6.0,0.012962962962962963,0.004536092116265145,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.03981481481481482,0.002268046058132573,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.044444444444444446,6.0,0.06326987681970885,0.00027429896335758155,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06382978723404256,6.0,0.9601851851851851,0.0022680460581325644,0.9555555555555556,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,GenAugSpoofOnly,0.05,6.0,88.66666666666667,0.5163977794943222,88.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.5163977794943222,1.0,1.0,1.0,1.75,2.0,6.0,0.014814814814814815,0.00573775310549247,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.040740740740740744,0.0028688765527462353,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.044444444444444446,6.0,0.06338185890257558,0.00034696379361320997,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06382978723404256,6.0,0.9592592592592593,0.0028688765527462245,0.9555555555555556,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,GenAugSpoofOnly,0.1,6.0,88.66666666666667,0.5163977794943223,88.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.5163977794943223,1.0,1.0,1.0,1.75,2.0,6.0,0.014814814814814815,0.00573775310549247,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.04074074074074074,0.0028688765527462353,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.044444444444444446,6.0,0.06338185890257558,0.00034696379361320997,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06382978723404256,6.0,0.9592592592592593,0.002868876552746224,0.9555555555555556,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,GenAugSpoofOnly,0.2,6.0,88.66666666666667,0.5163977794943223,88.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.5163977794943223,1.0,1.0,1.0,1.75,2.0,6.0,0.014814814814814815,0.00573775310549247,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.040740740740740744,0.0028688765527462353,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.044444444444444446,6.0,0.06338185890257558,0.00034696379361320997,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06382978723404256,6.0,0.9592592592592593,0.002868876552746224,0.9555555555555556,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,GenAugSpoofOnly,0.3,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.03888888888888889,0.0,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.03888888888888889,6.0,0.0631578947368421,1.5202354861220293e-17,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06315789473684211,6.0,0.9611111111111111,0.0,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,GenAugSpoofOnly_KF,0.05,6.0,88.33333333333333,0.5163977794943223,88.0,88.0,88.0,88.75,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.6666666666666667,0.5163977794943223,1.0,1.25,2.0,2.0,2.0,6.0,0.01851851851851852,0.00573775310549247,0.011111111111111112,0.01388888888888889,0.022222222222222223,0.022222222222222223,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.0425925925925926,0.0028688765527462353,0.03888888888888889,0.04027777777777778,0.044444444444444446,0.044444444444444446,0.044444444444444446,6.0,0.06360582306830907,0.00034696379361320997,0.06315789473684211,0.06332586786114222,0.06382978723404256,0.06382978723404256,0.06382978723404256,6.0,0.9574074074074074,0.002868876552746225,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9597222222222223,0.9611111111111111
2,BeforeSplit,GenAugSpoofOnly_KF,0.1,6.0,88.66666666666667,0.5163977794943222,88.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.5163977794943222,1.0,1.0,1.0,1.75,2.0,6.0,0.014814814814814815,0.00573775310549247,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.040740740740740744,0.0028688765527462353,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.044444444444444446,6.0,0.06338185890257558,0.00034696379361320997,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06382978723404256,6.0,0.9592592592592593,0.002868876552746225,0.9555555555555556,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,GenAugSpoofOnly_KF,0.2,6.0,88.83333333333333,0.408248290463863,88.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.1666666666666667,0.408248290463863,1.0,1.0,1.0,1.0,2.0,6.0,0.012962962962962963,0.004536092116265145,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.03981481481481482,0.002268046058132573,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.044444444444444446,6.0,0.06326987681970885,0.00027429896335758155,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06382978723404256,6.0,0.9601851851851851,0.0022680460581325644,0.9555555555555556,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,GenAugSpoofOnly_KF,0.3,6.0,88.5,0.5477225575051661,88.0,88.0,88.5,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,0.016666666666666666,0.006085806194501846,0.011111111111111112,0.011111111111111112,0.016666666666666666,0.022222222222222223,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.041666666666666664,0.0030429030972509235,0.03888888888888889,0.03888888888888889,0.04166666666666667,0.044444444444444446,0.044444444444444446,6.0,0.06349384098544232,0.00036801067693516574,0.06315789473684211,0.06315789473684211,0.06349384098544233,0.06382978723404256,0.06382978723404256,6.0,0.9583333333333334,0.0030429030972509118,0.9555555555555556,0.9555555555555556,0.9583333333333334,0.9611111111111111,0.9611111111111111
2,BeforeSplit,TradAugSpoofOnly,0.05,6.0,88.66666666666667,0.5163977794943222,88.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.5163977794943222,1.0,1.0,1.0,1.75,2.0,6.0,0.014814814814814815,0.00573775310549247,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.040740740740740744,0.0028688765527462353,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.044444444444444446,6.0,0.06338185890257558,0.00034696379361320997,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06382978723404256,6.0,0.9592592592592593,0.002868876552746225,0.9555555555555556,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,TradAugSpoofOnly,0.1,6.0,88.66666666666667,0.5163977794943223,88.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.5163977794943223,1.0,1.0,1.0,1.75,2.0,6.0,0.014814814814814815,0.00573775310549247,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.040740740740740744,0.0028688765527462353,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.044444444444444446,6.0,0.06338185890257558,0.00034696379361320997,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06382978723404256,6.0,0.9592592592592593,0.002868876552746225,0.9555555555555556,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,TradAugSpoofOnly,0.2,6.0,88.66666666666667,0.5163977794943223,88.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.5163977794943223,1.0,1.0,1.0,1.75,2.0,6.0,0.014814814814814815,0.00573775310549247,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.040740740740740744,0.0028688765527462353,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.044444444444444446,6.0,0.06338185890257558,0.00034696379361320997,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06382978723404256,6.0,0.9592592592592593,0.002868876552746225,0.9555555555555556,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,BeforeSplit,TradAugSpoofOnly,0.3,6.0,88.66666666666667,0.5163977794943223,88.0,88.25,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.3333333333333333,0.5163977794943223,1.0,1.0,1.0,1.75,2.0,6.0,0.014814814814814815,0.00573775310549247,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.019444444444444445,0.022222222222222223,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.040740740740740744,0.0028688765527462353,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.043055555555555555,0.044444444444444446,6.0,0.06338185890257558,0.00034696379361320997,0.06315789473684211,0.06315789473684211,0.06315789473684211,0.06366181410974245,0.06382978723404256,6.0,0.9592592592592593,0.002868876552746224,0.9555555555555556,0.9569444444444445,0.9611111111111111,0.9611111111111111,0.9611111111111111
2,None,Baseline,0,6.0,88.33333333333333,0.816496580927726,87.0,88.0,88.5,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.6666666666666667,0.816496580927726,1.0,1.0,1.5,2.0,3.0,6.0,0.01851851851851852,0.009072184232530289,0.011111111111111112,0.011111111111111112,0.016666666666666666,0.022222222222222223,0.03333333333333333,6.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,0.04259259259259259,0.004536092116265145,0.03888888888888889,0.03888888888888889,0.04166666666666667,0.044444444444444446,0.05,6.0,0.06360823128514491,0.0005533283684050301,0.06315789473684211,0.06315789473684211,0.06349384098544233,0.06382978723404256,0.06451612903225806,6.0,0.9574074074074074,0.004536092116265129,0.9500000000000001,0.9555555555555556,0.9583333333333334,0.9611111111111111,0.9611111111111111
3,AfterSplit,GenAugSpoofOnly,0.05,6.0,89.83333333333333,0.408248290463863,89.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.001851851851851852,0.0045360921162651445,0.0,0.0,0.0,0.0,0.011111111111111112,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.000925925925925926,0.0022680460581325722,0.0,0.0,0.0,0.0,0.005555555555555556,6.0,0.001831501831501825,0.004486244950152325,0.0,0.0,0.0,0.0,0.01098901098901095,6.0,0.9990740740740741,0.0022680460581325644,0.9944444444444445,1.0,1.0,1.0,1.0
3,AfterSplit,GenAugSpoofOnly,0.1,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,AfterSplit,GenAugSpoofOnly,0.2,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,AfterSplit,GenAugSpoofOnly,0.3,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,AfterSplit,GenAugSpoofOnly_KF,0.05,6.0,89.83333333333333,0.408248290463863,89.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.001851851851851852,0.0045360921162651445,0.0,0.0,0.0,0.0,0.011111111111111112,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.000925925925925926,0.0022680460581325722,0.0,0.0,0.0,0.0,0.005555555555555556,6.0,0.001831501831501825,0.004486244950152325,0.0,0.0,0.0,0.0,0.01098901098901095,6.0,0.9990740740740741,0.0022680460581325644,0.9944444444444445,1.0,1.0,1.0,1.0
3,AfterSplit,GenAugSpoofOnly_KF,0.1,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,AfterSplit,GenAugSpoofOnly_KF,0.2,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,AfterSplit,GenAugSpoofOnly_KF,0.3,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,AfterSplit,TradAugSpoofOnly,0.05,6.0,89.83333333333333,0.408248290463863,89.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.001851851851851852,0.0045360921162651445,0.0,0.0,0.0,0.0,0.011111111111111112,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.000925925925925926,0.0022680460581325722,0.0,0.0,0.0,0.0,0.005555555555555556,6.0,0.001831501831501825,0.004486244950152325,0.0,0.0,0.0,0.0,0.01098901098901095,6.0,0.9990740740740741,0.0022680460581325644,0.9944444444444445,1.0,1.0,1.0,1.0
3,AfterSplit,TradAugSpoofOnly,0.1,6.0,89.83333333333333,0.408248290463863,89.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.001851851851851852,0.0045360921162651445,0.0,0.0,0.0,0.0,0.011111111111111112,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.000925925925925926,0.0022680460581325722,0.0,0.0,0.0,0.0,0.005555555555555556,6.0,0.001831501831501825,0.004486244950152325,0.0,0.0,0.0,0.0,0.01098901098901095,6.0,0.9990740740740741,0.0022680460581325644,0.9944444444444445,1.0,1.0,1.0,1.0
